Model,Race,Accuracy,Precision,Recall,ROC-AUC,Confusion Matrix,State
White Only,White,0.9051363636363636,0.7673333333333333,0.6236792197236521,0.6880884770587355,"[[17611   698]
 [ 1389  2302]]",9.0
All Races,White,0.9015,0.7304900181488203,0.6542942292061772,0.6902958410747463,"[[17418   891]
 [ 1276  2415]]",9.0
White Only,American Indian,0.9340909090909091,0.7092198581560284,0.5863779882724403,0.6419753086419754,"[[19250   533]
 [  917  1300]]",10.0
All Races,American Indian,0.9230454545454545,0.6175942549371634,0.620658547586829,0.6191226096737908,"[[18931   852]
 [  841  1376]]",10.0
White Only,Asian,0.9543636363636364,0.8088888888888889,0.6444107233181589,0.7173423423423425,"[[19722   301]
 [  703  1274]]",10.0
All Races,Asian,0.943590909090909,0.6974248927038627,0.6575619625695498,0.6769070554543087,"[[19459   564]
 [  677  1300]]",10.0
White Only,Black,0.9462727272727273,0.8701399688958009,0.7252106286454958,0.7910922587486745,"[[18580   334]
 [  848  2238]]",10.0
All Races,Black,0.9325909090909091,0.7681498829039812,0.7440051847051199,0.7558847736625514,"[[18221   693]
 [  790  2296]]",10.0
White Only,Hawaiian/Other,0.9529545454545455,0.8225480283114257,0.7040242319342276,0.7586850081604104,"[[19338   351]
 [  684  1627]]",10.0
All Races,Hawaiian/Other,0.9459545454545455,0.7536166365280289,0.7213327563825184,0.7371213796152996,"[[19144   545]
 [  644  1667]]",10.0
White Only,White,0.9125909090909091,0.7923280423280423,0.6491465727445137,0.7136262099776619,"[[17681   628]
 [ 1295  2396]]",10.0
All Races,White,0.9029090909090909,0.7303703703703703,0.6678406935789759,0.6977073308802717,"[[17399   910]
 [ 1226  2465]]",10.0
White Only,American Indian,0.9465454545454546,0.8928301886792452,0.5336039693279206,0.6679841897233201,"[[19641   142]
 [ 1034  1183]]",12.0
All Races,American Indian,0.9444545454545454,0.8515901060070671,0.5435272891294542,0.663546255506608,"[[19573   210]
 [ 1012  1205]]",12.0
White Only,Asian,0.9615454545454546,0.9326702371843917,0.616590794132524,0.7423873325213155,"[[19935    88]
 [  758  1219]]",12.0
All Races,Asian,0.9606363636363636,0.913626209977662,0.6206373292867982,0.739156626506024,"[[19907   116]
 [  750  1227]]",12.0
White Only,Black,0.9545,0.9582417582417583,0.7064160725858717,0.8132811042715912,"[[18819    95]
 [  906  2180]]",12.0
All Races,Black,0.9539090909090909,0.9457831325301205,0.712248865845755,0.8125693160813308,"[[18788   126]
 [  888  2198]]",12.0
White Only,Hawaiian/Other,0.9611363636363637,0.9412121212121212,0.6720034617048897,0.7841454178237819,"[[19592    97]
 [  758  1553]]",12.0
All Races,Hawaiian/Other,0.9601363636363637,0.9252669039145908,0.6750324534833405,0.7805854390793094,"[[19563   126]
 [  751  1560]]",12.0
White Only,White,0.9208636363636363,0.9120879120879121,0.5846654023299919,0.7125639755654614,"[[18101   208]
 [ 1533  2158]]",12.0
All Races,White,0.9201363636363636,0.8886655948553055,0.5990246545651585,0.715649781518045,"[[18032   277]
 [ 1480  2211]]",12.0
White Only,American Indian,0.8907272727272727,0.4708631972577127,0.681551646368967,0.5569480280132695,"[[18085  1698]
 [  706  1511]]",13.0
All Races,American Indian,0.8737727272727273,0.42465016146393975,0.7117726657645467,0.5319399966290241,"[[17645  2138]
 [  639  1578]]",13.0
White Only,Asian,0.9377272727272727,0.652435961828227,0.6570561456752656,0.6547379032258065,"[[19331   692]
 [  678  1299]]",13.0
All Races,Asian,0.9249090909090909,0.569060773480663,0.6772888214466363,0.6184757505773671,"[[19009  1014]
 [  638  1339]]",13.0
White Only,Black,0.9199090909090909,0.6928904428904429,0.7705767984445885,0.729671678428966,"[[17860  1054]
 [  708  2378]]",13.0
All Races,Black,0.8993636363636364,0.608457711442786,0.7926117952041478,0.6884323107233324,"[[17340  1574]
 [  640  2446]]",13.0
White Only,Hawaiian/Other,0.9285909090909091,0.6377513030528668,0.7412375594980528,0.685611366820092,"[[18716   973]
 [  598  1713]]",13.0
All Races,Hawaiian/Other,0.9149545454545455,0.5723208415516108,0.7533535266118564,0.6504763683915562,"[[18388  1301]
 [  570  1741]]",13.0
White Only,White,0.8699545454545454,0.5915306572562858,0.7266323489569222,0.6521580547112462,"[[16457  1852]
 [ 1009  2682]]",13.0
All Races,White,0.8604545454545455,0.5629945222154595,0.7518287726903278,0.6438515081206496,"[[16155  2154]
 [  916  2775]]",13.0
White Only,American Indian,0.21845454545454546,0.10601357394644079,0.9088858818222824,0.18987938183188843,"[[ 2791 16992]
 [  202  2015]]",16.0
All Races,American Indian,0.21818181818181817,0.10581425940541962,0.9070816418583671,0.1895203091131844,"[[ 2789 16994]
 [  206  2011]]",16.0
White Only,Asian,0.331,0.09723714990200417,0.7779463834092059,0.17286725862650332,"[[ 5744 14279]
 [  439  1538]]",16.0
All Races,Asian,0.3300909090909091,0.09711435246574478,0.7779463834092059,0.17267317839901203,"[[ 5724 14299]
 [  439  1538]]",16.0
White Only,Black,0.2323181818181818,0.1452947525312227,0.9160725858716785,0.2508095639444617,"[[ 2284 16630]
 [  259  2827]]",16.0
All Races,Black,0.23222727272727273,0.1453162735727866,0.916396629941672,0.2508537721204595,"[[ 2281 16633]
 [  258  2828]]",16.0
White Only,Hawaiian/Other,0.3245909090909091,0.11678475445883216,0.8273474686282994,0.20467804956377456,"[[ 5229 14460]
 [  399  1912]]",16.0
All Races,Hawaiian/Other,0.323,0.11639534174745442,0.8260493292946777,0.20404018811457886,"[[ 5197 14492]
 [  402  1909]]",16.0
White Only,White,0.25213636363636366,0.17510183299389,0.9317258195610946,0.2948009086622948,"[[ 2108 16201]
 [  252  3439]]",16.0
All Races,White,0.2525454545454546,0.17514901421366347,0.9314548902736386,0.2948542024013722,"[[ 2118 16191]
 [  253  3438]]",16.0
White Only,American Indian,0.428,0.11412193850964043,0.6914749661705006,0.1959105431309904,"[[ 7883 11900]
 [  684  1533]]",17.0
All Races,American Indian,0.4259090909090909,0.11142622583774908,0.6734325665313486,0.1912141393442623,"[[ 7877 11906]
 [  724  1493]]",17.0
White Only,Asian,0.4913181818181818,0.10771457765667575,0.6398583712696004,0.1843888929378325,"[[ 9544 10479]
 [  712  1265]]",17.0
All Races,Asian,0.4874545454545455,0.10141448778396914,0.5983813859382904,0.17343498020818063,"[[ 9541 10482]
 [  794  1183]]",17.0
White Only,Black,0.37168181818181817,0.151915969655709,0.7592352559948153,0.25317413150359286,"[[ 5834 13080]
 [  743  2343]]",17.0
All Races,Black,0.3684090909090909,0.1488075898368965,0.7420609202851588,0.2479025710419486,"[[ 5815 13099]
 [  796  2290]]",17.0
White Only,Hawaiian/Other,0.5196363636363637,0.13513035793194875,0.6616183470359152,0.2244238954939087,"[[9903 9786]
 [ 782 1529]]",17.0
All Races,Hawaiian/Other,0.5141363636363636,0.12658227848101267,0.6144526179143228,0.2099194323305492,"[[9891 9798]
 [ 891 1420]]",17.0
White Only,White,0.3956363636363636,0.18121473614337869,0.739636954754809,0.291106845809341,"[[ 5974 12335]
 [  961  2730]]",17.0
All Races,White,0.39340909090909093,0.1790558510638298,0.729612571118938,0.28754471197480114,"[[ 5962 12347]
 [  998  2693]]",17.0
White Only,American Indian,0.4470909090909091,0.10761341222879685,0.6152458276950834,0.18318560300832662,"[[ 8472 11311]
 [  853  1364]]",18.0
All Races,American Indian,0.4470909090909091,0.10761341222879685,0.6152458276950834,0.18318560300832662,"[[ 8472 11311]
 [  853  1364]]",18.0
White Only,Asian,0.5185,0.09304742112223692,0.49822964087000504,0.1568096792167476,"[[10422  9601]
 [  992   985]]",18.0
All Races,Asian,0.5185,0.09304742112223692,0.49822964087000504,0.1568096792167476,"[[10422  9601]
 [  992   985]]",18.0
White Only,Black,0.4011363636363636,0.1405771286070538,0.6393389500972132,0.2304771917528182,"[[ 6852 12062]
 [ 1113  1973]]",18.0
All Races,Black,0.4011363636363636,0.1405771286070538,0.6393389500972132,0.2304771917528182,"[[ 6852 12062]
 [ 1113  1973]]",18.0
White Only,Hawaiian/Other,0.5352272727272728,0.11937283570604078,0.5369969710082215,0.19532541119068228,"[[10534  9155]
 [ 1070  1241]]",18.0
All Races,Hawaiian/Other,0.5352272727272728,0.11937283570604078,0.5369969710082215,0.19532541119068228,"[[10534  9155]
 [ 1070  1241]]",18.0
White Only,White,0.41759090909090907,0.17304659498207886,0.6540232999187212,0.27368063034975343,"[[ 6773 11536]
 [ 1277  2414]]",18.0
All Races,White,0.41759090909090907,0.17304659498207886,0.6540232999187212,0.27368063034975343,"[[ 6773 11536]
 [ 1277  2414]]",18.0
White Only,American Indian,0.45590909090909093,0.10733553426201788,0.6012629679747407,0.18215359387810878,"[[ 8697 11086]
 [  884  1333]]",19.0
All Races,American Indian,0.45590909090909093,0.10733553426201788,0.6012629679747407,0.18215359387810878,"[[ 8697 11086]
 [  884  1333]]",19.0
White Only,Asian,0.5224090909090909,0.09217823675655001,0.4876074860900354,0.15504624045034177,"[[10529  9494]
 [ 1013   964]]",19.0
All Races,Asian,0.5224090909090909,0.09217823675655001,0.4876074860900354,0.15504624045034177,"[[10529  9494]
 [ 1013   964]]",19.0
White Only,Black,0.41309090909090906,0.14086257309941522,0.6244329228775113,0.22986997494930217,"[[ 7161 11753]
 [ 1159  1927]]",19.0
All Races,Black,0.41309090909090906,0.14086257309941522,0.6244329228775113,0.22986997494930217,"[[ 7161 11753]
 [ 1159  1927]]",19.0
White Only,Hawaiian/Other,0.541,0.11854609581659645,0.5235828645607962,0.1933216168717047,"[[10692  8997]
 [ 1101  1210]]",19.0
All Races,Hawaiian/Other,0.541,0.11854609581659645,0.5235828645607962,0.1933216168717047,"[[10692  8997]
 [ 1101  1210]]",19.0
White Only,White,0.43372727272727274,0.17304393227418513,0.6285559468978597,0.2713767692127734,"[[ 7222 11087]
 [ 1371  2320]]",19.0
All Races,White,0.43372727272727274,0.17304393227418513,0.6285559468978597,0.2713767692127734,"[[ 7222 11087]
 [ 1371  2320]]",19.0
White Only,American Indian,0.4796818181818182,0.11028542475933119,0.589084348218313,0.18578846290632334,"[[ 9247 10536]
 [  911  1306]]",20.0
All Races,American Indian,0.4707272727272727,0.1091949257938811,0.5940460081190798,0.18447961899425688,"[[ 9039 10744]
 [  900  1317]]",20.0
White Only,Asian,0.567,0.09969243822250504,0.47546788062721296,0.1648255304225846,"[[11534  8489]
 [ 1037   940]]",20.0
All Races,Asian,0.551409090909091,0.09710026546865427,0.48103186646433993,0.1615835527992524,"[[11180  8843]
 [ 1026   951]]",20.0
White Only,Black,0.44131818181818183,0.1458798184196353,0.6143875567077123,0.23577690729341538,"[[ 7813 11101]
 [ 1190  1896]]",20.0
All Races,Black,0.4259545454545455,0.14293197635261543,0.6189241736876215,0.23223296249012096,"[[ 7461 11453]
 [ 1176  1910]]",20.0
White Only,Hawaiian/Other,0.5661363636363637,0.12385607321131448,0.515361315447858,0.1997149325060786,"[[11264  8425]
 [ 1120  1191]]",20.0
All Races,Hawaiian/Other,0.5544545454545454,0.12116921209669262,0.518390307226309,0.19642564354812264,"[[11000  8689]
 [ 1113  1198]]",20.0
White Only,White,0.46936363636363637,0.18034756146392247,0.6101327553508534,0.2784027691927309,"[[ 8074 10235]
 [ 1439  2252]]",20.0
All Races,White,0.462,0.1787489153585233,0.613925765375237,0.2768817204301075,"[[ 7898 10411]
 [ 1425  2266]]",20.0
White Only,American Indian,0.46554545454545454,0.10739856801909307,0.5886332882273342,0.18165367483296213,"[[ 8937 10846]
 [  912  1305]]",21.0
All Races,American Indian,0.4651363636363636,0.1067369461373744,0.584573748308525,0.18051396336792255,"[[ 8937 10846]
 [  921  1296]]",21.0
White Only,Asian,0.5272272727272728,0.09359320725588575,0.490642387455741,0.15719957864030465,"[[10629  9394]
 [ 1007   970]]",21.0
All Races,Asian,0.5262727272727272,0.091752876341487,0.4800202326757714,0.15405844155844156,"[[10629  9394]
 [ 1028   949]]",21.0
White Only,Black,0.4173181818181818,0.14287810963528288,0.6309138042773818,0.232992281457548,"[[ 7234 11680]
 [ 1139  1947]]",21.0
All Races,Black,0.4162727272727273,0.14142899147309615,0.6234607906675308,0.23055721989215097,"[[ 7234 11680]
 [ 1162  1924]]",21.0
White Only,Hawaiian/Other,0.5446363636363636,0.11835198573833812,0.5170921678926872,0.19261766602192132,"[[10787  8902]
 [ 1116  1195]]",21.0
All Races,Hawaiian/Other,0.5442272727272728,0.11756542426645519,0.5131977498918218,0.19130575046374707,"[[10787  8902]
 [ 1125  1186]]",21.0
White Only,White,0.4430909090909091,0.17336894315146892,0.6155513410999729,0.27054060490593,"[[ 7476 10833]
 [ 1419  2272]]",21.0
All Races,White,0.44222727272727275,0.1721687299403943,0.6104036846383094,0.2685819872444418,"[[ 7476 10833]
 [ 1438  2253]]",21.0
White Only,American Indian,0.4706818181818182,0.10840671207841834,0.5886332882273342,0.18309365135040337,"[[ 9050 10733]
 [  912  1305]]",22.0
All Races,American Indian,0.4704090909090909,0.1079621010638298,0.5859269282814614,0.18232858446206754,"[[ 9050 10733]
 [  918  1299]]",22.0
White Only,Asian,0.5297272727272727,0.0944072889405835,0.4926656550328781,0.15845127704571335,"[[10680  9343]
 [ 1003   974]]",22.0
All Races,Asian,0.5289090909090909,0.09282454607243422,0.48356095093576124,0.15575105897686545,"[[10680  9343]
 [ 1021   956]]",22.0
White Only,Black,0.43,0.1524264705882353,0.6717433570965652,0.24847177274361743,"[[ 7387 11527]
 [ 1013  2073]]",22.0
All Races,Black,0.42577272727272725,0.14659065669652774,0.6416072585871678,0.23865485445669865,"[[ 7387 11527]
 [ 1106  1980]]",22.0
White Only,Hawaiian/Other,0.5487272727272727,0.12040267118508921,0.5227174383383817,0.19572261827608559,"[[10864  8825]
 [ 1103  1208]]",22.0
All Races,Hawaiian/Other,0.5479090909090909,0.11882176734897654,0.5149286023366508,0.19308778192438747,"[[10864  8825]
 [ 1121  1190]]",22.0
White Only,White,0.4527272727272727,0.17404544389786836,0.603901381739366,0.27021457146320765,"[[ 7731 10578]
 [ 1462  2229]]",22.0
All Races,White,0.45195454545454544,0.17294761532447225,0.5992955838526145,0.2684303136945574,"[[ 7731 10578]
 [ 1479  2212]]",22.0
White Only,American Indian,0.47859090909090907,0.1057430129516019,0.559765448804691,0.17788289256790654,"[[ 9288 10495]
 [  976  1241]]",23.0
All Races,American Indian,0.47859090909090907,0.1057430129516019,0.559765448804691,0.17788289256790654,"[[ 9288 10495]
 [  976  1241]]",23.0
White Only,Asian,0.5306363636363637,0.09013254786450663,0.464339908952959,0.1509620128268377,"[[10756  9267]
 [ 1059   918]]",23.0
All Races,Asian,0.5306363636363637,0.09013254786450663,0.464339908952959,0.1509620128268377,"[[10756  9267]
 [ 1059   918]]",23.0
White Only,Black,0.4456818181818182,0.1387897533507812,0.5670771224886585,0.22300095571838166,"[[ 8055 10859]
 [ 1336  1750]]",23.0
All Races,Black,0.4456818181818182,0.1387897533507812,0.5670771224886585,0.22300095571838166,"[[ 8055 10859]
 [ 1336  1750]]",23.0
White Only,Hawaiian/Other,0.5514545454545454,0.11697921946274709,0.4993509303331891,0.18955321944809464,"[[10978  8711]
 [ 1157  1154]]",23.0
All Races,Hawaiian/Other,0.5514545454545454,0.11697921946274709,0.4993509303331891,0.18955321944809464,"[[10978  8711]
 [ 1157  1154]]",23.0
White Only,White,0.4580909090909091,0.1701530816702733,0.5751828772690328,0.262617516081148,"[[ 7955 10354]
 [ 1568  2123]]",23.0
All Races,White,0.4581363636363636,0.17016672010259698,0.5751828772690328,0.2626337601286572,"[[ 7956 10353]
 [ 1568  2123]]",23.0
White Only,American Indian,0.4895909090909091,0.12512479201331114,0.6783942264321154,0.21128046639039122,"[[ 9267 10516]
 [  713  1504]]",24.0
All Races,American Indian,0.48422727272727273,0.120216306156406,0.6517816869643662,0.20299220341364055,"[[ 9208 10575]
 [  772  1445]]",24.0
White Only,Asian,0.5348636363636363,0.11362785473605391,0.6140617096611026,0.19177000236948105,"[[10553  9470]
 [  763  1214]]",24.0
All Races,Asian,0.5313181818181818,0.1125162730146922,0.6120384420839656,0.19008718875186553,"[[10479  9544]
 [  767  1210]]",24.0
White Only,Black,0.4675,0.17037206814882727,0.7226182760855476,0.27573415765069553,"[[ 8055 10859]
 [  856  2230]]",24.0
All Races,Black,0.4667727272727273,0.16950837219970946,0.7184057031756319,0.2742963192081658,"[[ 8052 10862]
 [  869  2217]]",24.0
White Only,Hawaiian/Other,0.5642272727272727,0.147275547799108,0.6572912159238425,0.24063366336633663,"[[10894  8795]
 [  792  1519]]",24.0
All Races,Hawaiian/Other,0.5613636363636364,0.14453162840259615,0.6456079619212463,0.23618806395440875,"[[10858  8831]
 [  819  1492]]",24.0
White Only,White,0.4793636363636364,0.1984774333877107,0.6922243294500136,0.3085003622313451,"[[ 7991 10318]
 [ 1136  2555]]",24.0
All Races,White,0.4762272727272727,0.19501557632398753,0.6784069357897589,0.30294598027947484,"[[ 7973 10336]
 [ 1187  2504]]",24.0
White Only,American Indian,0.49827272727272726,0.10708240534521159,0.5421741091565179,0.1788424341615831,"[[ 9760 10023]
 [ 1015  1202]]",25.0
All Races,American Indian,0.4960909090909091,0.10669623059866962,0.5426251691474966,0.17832789801363771,"[[ 9711 10072]
 [ 1014  1203]]",25.0
White Only,Asian,0.5541818181818182,0.09217789813561088,0.44764795144157815,0.15287614441181552,"[[11307  8716]
 [ 1092   885]]",25.0
All Races,Asian,0.5517727272727273,0.09175642087821044,0.4481537683358624,0.1523252815266913,"[[11253  8770]
 [ 1091   886]]",25.0
White Only,Black,0.4969090909090909,0.141032559812916,0.508101101749838,0.2207828780625176,"[[9364 9550]
 [1518 1568]]",25.0
All Races,Black,0.49568181818181817,0.14101299865531153,0.5097213220998056,0.22091145284741243,"[[9332 9582]
 [1513 1573]]",25.0
White Only,Hawaiian/Other,0.5702727272727273,0.11912125413245174,0.4833405452185201,0.19113620807665982,"[[11429  8260]
 [ 1194  1117]]",25.0
All Races,Hawaiian/Other,0.569,0.11884766663123206,0.4837732583297274,0.19081754565625533,"[[11400  8289]
 [ 1193  1118]]",25.0
White Only,White,0.4752272727272727,0.1724770642201835,0.5602817664589542,0.2637586888591289,"[[8387 9922]
 [1623 2068]]",25.0
All Races,White,0.47313636363636363,0.17187240405382953,0.5605526957464102,0.2630809333079026,"[[8340 9969]
 [1622 2069]]",25.0
White Only,American Indian,0.4572272727272727,0.12800306044376433,0.7546233649075327,0.21887878589651336,"[[ 8386 11397]
 [  544  1673]]",26.0
All Races,American Indian,0.5118636363636364,0.13493831391363947,0.7104194857916103,0.22679818561451512,"[[ 9686 10097]
 [  642  1575]]",26.0
White Only,Asian,0.5423181818181818,0.12432683379758588,0.6772888214466363,0.2100886483094061,"[[10592  9431]
 [  638  1339]]",26.0
All Races,Asian,0.584,0.1325412270818396,0.6545270612038442,0.220442930153322,"[[11554  8469]
 [  683  1294]]",26.0
White Only,Black,0.4737727272727273,0.17907627182704663,0.7676604018146468,0.2904076003677597,"[[ 8054 10860]
 [  717  2369]]",26.0
All Races,Black,0.5279545454545455,0.1922590437642297,0.7388204795852236,0.30511876881900296,"[[9335 9579]
 [ 806 2280]]",26.0
White Only,Hawaiian/Other,0.5495909090909091,0.15513798111837326,0.7395067070532237,0.2564718241164553,"[[10382  9307]
 [  602  1709]]",26.0
All Races,Hawaiian/Other,0.5971818181818181,0.16790023319476832,0.7165729121592385,0.2720551996057171,"[[11482  8207]
 [  655  1656]]",26.0
White Only,White,0.4581363636363636,0.2013788098693759,0.7518287726903278,0.3176692805220078,"[[ 7304 11005]
 [  916  2775]]",26.0
